age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
52,0,0,2,0,128,1,0,1,5,4,229,1,0,0,0,0
59,0,0,2,0,179,1,0,1,5,4,55,3,0,0,0,0
27,2,1,1,0,0,1,0,1,5,4,400,1,0,0,0,0
44,0,0,0,0,54,1,0,1,5,4,197,1,0,0,0,0
47,2,0,1,0,151,1,0,1,5,4,190,1,0,0,0,0
34,3,0,0,0,61,0,1,1,5,4,21,1,0,0,0,0
59,5,1,0,0,30,1,0,1,5,4,514,1,0,0,0,0
29,4,2,0,0,31,1,0,1,5,4,194,1,0,0,0,0
46,2,2,0,0,79,0,0,1,5,4,144,1,0,0,0,0
56,6,0,2,0,-34,1,1,1,5,4,212,2,0,0,0,0
36,0,0,2,0,448,1,0,1,5,4,286,1,0,0,0,0
59,5,2,2,0,81,1,0,1,5,4,107,1,0,0,0,0
44,0,0,0,0,144,1,0,1,5,4,247,2,0,0,0,0
41,3,0,0,0,351,1,0,1,5,4,518,1,0,0,0,0
33,1,1,1,0,-67,1,0,1,5,4,364,1,0,0,0,0
59,1,2,1,0,262,0,0,1,5,4,178,1,0,0,0,0
57,2,0,2,0,0,0,0,1,5,4,98,1,0,0,0,0
56,2,2,3,0,56,1,0,1,5,4,439,1,0,0,0,0
51,0,0,0,0,26,1,0,1,5,4,79,1,0,0,0,0
34,3,0,3,0,3,1,0,1,5,4,120,3,0,0,0,0
43,4,0,0,0,41,1,1,1,5,4,127,2,0,0,0,0
52,2,0,1,0,7,0,1,1,5,4,175,1,0,0,0,0
33,2,1,0,0,105,1,0,1,5,4,262,2,0,0,0,0
29,3,1,0,0,818,1,1,1,5,4,61,1,0,0,0,0
34,4,0,0,0,-16,1,1,1,5,4,78,1,0,0,0,0
31,0,0,0,0,0,1,0,1,5,4,143,1,0,0,0,0
55,4,0,0,0,2476,1,0,1,5,4,579,1,0,0,0,1
32,3,1,0,0,217,1,0,1,5,4,345,1,0,0,0,0
38,2,1,0,0,1685,1,0,1,5,4,185,1,0,0,0,0
55,3,1,0,0,802,1,1,1,5,4,100,2,0,0,0,0
28,6,1,1,0,0,1,0,1,5,4,125,2,0,0,0,0
23,0,0,0,0,94,1,0,1,5,4,193,1,0,0,0,0
32,2,1,0,0,0,1,0,1,5,4,136,1,0,0,0,0
43,4,1,3,0,0,0,0,1,5,4,73,1,0,0,0,0
32,0,0,0,0,517,1,0,1,5,4,528,1,0,0,0,0
46,0,0,0,0,265,1,0,1,5,4,541,1,0,0,0,0
53,6,2,2,0,947,1,0,1,5,4,163,1,0,0,0,0
34,6,1,0,0,3,1,0,1,5,4,301,1,0,0,0,0
57,6,0,1,0,42,0,0,1,5,4,46,1,0,0,0,0
37,0,0,0,0,37,1,0,1,5,4,204,1,0,0,0,0
59,0,0,0,0,57,1,0,1,5,4,98,1,0,0,0,0
33,4,0,0,0,22,1,0,1,5,4,71,1,0,0,0,0
56,0,2,2,0,8,1,0,1,5,4,157,2,0,0,0,0
48,6,0,0,0,293,1,0,1,5,4,243,1,0,0,0,0
43,4,0,2,0,3,1,0,1,5,4,186,2,0,0,0,0
54,0,0,2,0,348,1,0,1,5,4,579,2,0,0,0,0
51,0,0,3,0,-19,1,0,1,5,4,163,2,0,0,0,0
26,6,1,0,0,0,1,0,1,5,4,610,2,0,0,0,0
39,1,0,0,0,18,1,0,1,5,4,85,1,0,0,0,0
50,2,0,2,0,139,0,0,1,5,4,114,2,0,0,0,0
41,4,0,0,0,0,1,0,1,5,4,114,2,0,0,0,0
51,0,0,3,0,1883,1,0,1,5,4,57,1,0,0,0,0
60,5,2,0,0,216,1,0,1,5,4,238,1,0,0,0,0
52,0,0,0,0,782,1,0,1,5,4,93,3,0,0,0,0
48,0,0,0,0,904,1,0,1,5,4,128,2,0,0,0,0
48,4,0,3,0,1705,1,0,1,5,4,107,1,0,0,0,0
39,2,1,1,0,47,1,0,1,5,4,181,1,0,0,0,0
47,4,1,0,0,176,1,0,1,5,4,303,2,0,0,0,0
40,0,0,0,0,1225,1,0,1,5,4,558,5,0,0,0,0
45,2,0,0,0,86,1,0,1,5,4,270,1,0,0,0,0
26,3,1,0,0,82,1,0,1,5,4,228,1,0,0,0,0
52,1,0,1,0,271,1,0,1,5,4,99,1,0,0,0,0
54,2,0,0,0,1378,1,0,1,5,4,240,1,0,0,0,0
50,0,0,2,0,0,0,0,1,5,4,233,3,0,0,0,0
44,4,0,0,0,1357,1,1,1,5,4,250,1,0,0,0,0
53,6,0,3,0,19,1,0,1,5,4,252,1,0,0,0,0
35,5,1,2,0,434,0,0,1,5,4,138,1,0,0,0,0
60,3,2,0,0,92,1,0,1,5,4,130,1,0,0,0,0
53,3,2,0,0,1151,1,0,1,5,4,412,1,0,0,0,0
48,6,0,0,0,41,1,0,1,5,4,179,2,0,0,0,0
34,2,0,0,0,51,1,0,1,5,4,19,2,0,0,0,0
54,4,0,0,0,214,1,0,1,5,4,458,2,0,0,0,0
31,4,0,1,0,37,1,0,1,5,4,313,1,0,0,0,0
38,2,0,0,0,253,1,0,1,5,4,416,1,0,0,0,0
36,3,0,1,0,211,1,0,1,5,4,146,2,0,0,0,0
58,5,0,2,0,235,1,0,1,5,4,167,1,0,0,0,0
34,0,1,0,0,53,1,1,1,5,4,346,1,0,0,0,0
31,1,1,1,0,0,1,0,1,5,4,562,1,0,0,0,0
51,5,0,0,0,2127,1,0,1,5,4,172,1,0,0,0,0
33,1,0,1,0,377,1,0,1,5,4,217,1,0,0,0,0
55,1,0,1,0,73,1,0,1,5,4,142,2,0,0,0,0
42,3,0,0,0,445,1,0,1,5,4,67,1,0,0,0,0
34,0,0,0,0,243,1,0,1,5,4,291,1,0,0,0,0
33,0,1,0,0,307,1,0,1,5,4,309,2,0,0,0,0
38,4,0,0,0,155,1,0,1,5,4,248,1,0,0,0,0
50,2,2,1,0,173,0,1,1,5,4,98,1,0,0,0,0
43,1,0,1,0,400,1,0,1,5,4,256,1,0,0,0,0
61,0,2,2,0,1428,1,0,1,5,4,82,2,0,0,0,0
47,3,0,0,0,219,1,0,1,5,4,577,1,0,0,0,0
48,6,0,1,0,7,1,0,1,5,4,286,1,0,0,0,0
44,0,0,0,0,575,1,0,1,5,4,477,1,0,0,0,0
35,6,1,3,0,298,1,0,1,5,4,611,2,0,0,0,0
35,4,0,0,0,0,1,0,1,5,4,471,1,0,0,0,0
41,1,0,1,0,176,1,1,1,5,4,42,1,0,0,0,0
41,1,0,1,0,517,1,0,1,5,4,251,1,0,0,0,0
39,4,1,3,0,257,1,0,1,5,4,408,1,0,0,0,0
42,5,0,0,0,56,1,0,1,5,4,215,1,0,0,0,0
38,0,0,0,0,-390,1,0,1,5,4,287,1,0,0,0,0
53,5,0,0,0,330,1,0,1,5,4,216,2,0,0,0,0
59,6,2,2,0,195,0,0,1,5,4,366,2,0,0,0,0
36,4,0,0,0,301,1,0,1,5,4,210,1,0,0,0,0
54,0,0,2,0,-41,1,0,1,5,4,288,1,0,0,0,0
40,2,0,1,0,483,1,0,1,5,4,168,1,0,0,0,0
47,6,0,3,0,28,0,0,1,5,4,338,2,0,0,0,0
53,6,0,3,0,13,0,0,1,5,4,410,3,0,0,0,0
46,6,0,2,0,965,0,0,1,5,4,177,1,0,0,0,0
39,1,0,1,0,378,1,1,1,5,4,127,2,0,0,0,0
40,6,0,0,0,219,1,0,1,5,4,357,1,0,0,0,0
28,0,0,2,0,324,1,0,1,5,4,175,1,0,0,0,0
35,6,2,0,0,-69,1,0,1,5,4,300,1,0,0,0,0
55,5,0,0,0,0,0,1,1,5,4,136,1,0,0,0,0
48,0,0,2,0,278,1,0,1,5,4,125,2,0,0,0,0
58,1,0,3,0,1065,1,0,1,5,4,213,3,0,0,0,0
33,1,1,1,0,34,1,0,1,5,4,27,1,0,0,0,0
36,0,0,3,0,1033,0,0,1,5,4,238,2,0,0,0,0
53,4,2,0,0,1467,1,0,1,5,4,124,1,0,0,0,0
47,0,0,2,0,-12,1,0,1,5,4,18,1,0,0,0,0
53,0,0,3,0,1827,0,0,1,5,4,121,1,0,0,0,0
55,0,0,2,0,627,1,0,1,5,4,247,1,0,0,0,0
45,0,0,2,0,25,1,0,1,5,4,40,1,0,0,0,0
53,3,2,0,0,315,1,0,1,5,4,181,2,0,0,0,0
37,0,0,2,0,0,1,0,1,5,4,79,1,0,0,0,0
44,3,2,0,0,66,1,0,1,5,4,206,1,0,0,0,0
49,0,2,2,0,-9,1,1,1,5,4,389,1,0,0,0,0
46,2,0,0,0,349,1,1,1,5,4,127,1,0,0,0,0
38,3,0,0,0,0,0,0,1,5,4,151,1,0,0,0,0
43,2,0,0,0,434,1,0,1,5,4,117,1,0,0,0,0
49,1,0,1,0,3237,1,0,1,5,4,232,3,0,0,0,0
42,1,0,3,0,275,0,0,1,5,4,408,2,0,0,0,0
22,0,1,0,0,0,1,0,1,5,4,179,2,0,0,0,0
40,1,0,1,0,207,1,0,1,5,4,39,1,0,0,0,0
39,0,0,0,0,483,1,0,1,5,4,282,1,0,0,0,0
49,3,0,0,0,428,1,0,1,5,4,50,1,0,0,0,0
53,0,0,0,0,0,1,1,1,5,4,181,1,0,0,0,0
34,4,1,0,0,0,1,0,1,5,4,142,1,0,0,0,0
33,2,2,0,0,140,1,0,1,5,4,227,1,0,0,0,0
50,1,1,1,0,297,1,0,1,5,4,119,1,0,0,0,0
39,0,0,2,0,279,1,0,1,5,4,361,1,0,0,0,0
59,6,2,0,0,901,1,0,1,5,4,73,3,0,0,0,0
30,2,1,0,0,2573,1,0,1,5,4,67,2,0,0,0,0
36,4,0,0,0,143,1,1,1,5,4,350,1,0,0,0,0
40,0,0,0,0,475,1,0,1,5,4,332,2,0,0,0,0
53,0,0,0,0,70,1,0,1,5,4,611,2,0,0,0,0
34,1,1,1,0,318,1,0,1,5,4,113,2,0,0,0,0
37,2,0,0,0,275,1,0,1,5,4,132,1,0,0,0,0
42,1,2,1,0,742,1,0,1,5,4,58,3,0,0,0,0
41,6,0,2,0,236,1,0,1,5,4,151,1,0,0,0,0
30,6,1,1,0,25,1,0,1,5,4,89,2,0,0,0,0
37,1,1,1,0,600,1,0,1,5,4,152,1,0,0,0,0
39,3,2,0,0,-349,1,0,1,5,4,611,2,0,0,0,0
41,0,0,2,0,183,1,1,1,5,4,110,2,0,0,0,0
40,0,0,2,0,0,1,0,1,5,4,463,1,0,0,0,0
42,1,1,1,0,0,1,1,1,5,4,562,2,0,0,0,1
57,2,0,0,0,1078,1,0,1,5,4,10,4,0,0,0,0
56,6,2,0,0,155,0,0,1,5,4,118,3,0,0,0,0
37,3,0,0,0,190,1,0,1,5,4,92,2,0,0,0,0
59,5,0,0,0,319,1,0,1,5,4,143,3,0,0,0,0
39,4,2,0,0,-185,1,0,1,5,4,189,3,0,0,0,0
49,4,0,0,0,47,0,0,1,5,4,234,2,0,0,0,0
38,4,1,0,0,570,1,0,1,5,4,75,2,0,0,0,0
36,6,0,1,0,19,0,0,1,5,4,189,2,0,0,0,0
50,0,0,2,0,61,1,0,1,5,4,621,3,0,0,0,0
41,3,0,0,0,-62,1,1,1,5,4,55,2,0,0,0,0
54,2,0,1,0,258,0,0,1,5,4,310,4,0,0,0,0
58,0,0,2,0,76,1,0,1,5,4,156,2,0,0,0,0
30,0,1,0,0,0,1,0,1,5,4,5,2,0,0,0,0
33,3,1,0,0,352,1,0,1,5,4,225,2,0,0,0,0
47,3,0,0,0,368,1,0,1,5,4,125,2,0,0,0,0
50,2,1,1,0,339,1,0,1,5,4,2,3,0,0,0,0
32,0,0,0,0,1331,1,0,1,5,4,286,2,0,0,0,0
40,6,0,0,0,672,1,0,1,5,4,164,2,0,0,0,0
37,1,0,1,0,58,1,0,1,5,4,98,2,0,0,0,0
24,6,1,0,0,423,1,0,1,5,4,226,3,0,0,0,0
54,1,0,1,0,0,0,0,1,5,4,120,2,0,0,0,0
34,2,0,0,0,19,1,0,1,5,4,362,4,0,0,0,0
56,2,2,2,0,13,1,0,1,5,4,357,2,0,0,0,0
31,0,1,0,0,3,1,0,1,5,4,200,2,0,0,0,0
24,6,1,0,0,82,1,0,1,5,4,204,2,0,0,0,0
42,0,2,2,0,28,1,0,1,5,4,126,3,0,0,0,0
57,2,0,0,0,792,1,0,1,5,4,65,2,0,0,0,0
42,0,0,3,0,408,1,0,1,5,4,107,2,0,0,0,0
51,3,0,0,0,531,1,0,1,5,4,267,2,0,0,0,0
57,5,0,0,0,211,1,0,1,5,4,248,2,0,0,0,0
36,4,1,0,0,62,1,0,1,5,4,215,2,0,0,0,0
53,4,0,3,0,257,1,0,1,5,4,209,2,0,0,0,0
50,2,0,0,0,1234,1,0,1,5,4,205,2,0,0,0,0
54,1,0,1,0,313,1,0,1,5,4,83,2,0,0,0,0
55,0,0,0,0,89,1,0,1,5,4,106,3,0,0,0,0
44,0,0,0,0,129,1,1,1,5,4,189,2,0,0,0,0
43,1,0,3,0,0,1,0,1,5,4,105,2,0,0,0,0
56,3,0,0,0,353,1,0,1,5,4,106,2,0,0,0,0
54,2,0,3,0,851,1,0,1,5,4,108,2,0,0,0,0
55,4,2,2,0,96,1,1,1,5,4,311,2,0,0,0,0
37,4,2,0,0,398,1,1,1,5,4,214,2,0,0,0,0
33,3,1,1,0,193,0,0,1,5,4,132,2,0,0,0,0
46,3,0,0,0,-358,1,0,1,5,4,358,2,0,0,0,0
36,0,0,0,0,539,1,1,1,5,4,453,2,0,0,0,0
51,2,1,0,0,0,1,0,1,5,4,364,2,0,0,0,0
40,5,1,2,0,0,0,0,1,5,4,136,2,0,0,0,0
42,0,0,0,0,490,1,0,1,5,4,386,2,0,0,0,0
51,0,0,0,0,0,1,0,1,5,4,173,2,0,0,0,0
49,0,0,3,0,403,1,0,1,5,4,241,2,0,0,0,0
48,1,0,0,0,161,1,0,1,5,4,224,3,0,0,0,0
32,2,2,1,0,2558,0,0,1,5,4,148,2,0,0,0,0
31,3,1,0,0,98,1,0,1,5,4,196,2,0,0,0,0
55,1,1,1,0,115,0,0,1,5,4,111,4,0,0,0,0
40,0,1,0,0,436,1,0,1,5,4,231,3,0,0,0,0
47,2,0,1,0,831,1,0,1,5,4,316,3,0,0,0,0
57,2,0,3,0,206,1,0,1,5,4,216,3,0,0,0,0
41,0,0,0,0,290,1,0,1,5,4,240,2,0,0,0,0
42,0,0,3,0,57,1,0,1,5,4,425,2,0,0,0,0
30,0,1,0,0,-457,1,0,1,5,4,143,2,0,0,0,0
58,1,1,1,0,1387,1,0,1,5,4,174,5,0,0,0,0
49,0,0,0,0,30,1,0,1,5,4,135,4,0,0,0,0
42,3,1,0,0,1022,1,0,1,5,4,146,2,0,0,0,0
53,2,0,0,0,56,1,1,1,5,4,152,2,0,0,0,0
51,3,1,0,1,-2,0,0,1,5,4,402,3,0,0,0,0
32,4,1,0,0,121,1,0,1,5,4,213,2,0,0,0,0
41,0,1,0,0,842,1,0,1,5,4,144,3,0,0,0,0
43,1,2,0,0,693,1,0,1,5,4,124,3,0,0,0,0
40,0,2,0,0,-333,1,0,1,5,4,183,2,0,0,0,0
50,0,0,2,0,1533,1,0,1,5,4,325,2,0,0,0,0
34,1,0,1,0,46,1,0,1,5,4,39,4,0,0,0,0
53,4,0,3,0,18,0,0,1,5,4,503,2,0,0,0,0
45,2,0,0,0,44,1,0,1,5,4,95,4,0,0,0,0
44,4,0,1,0,510,1,0,1,5,4,421,4,0,0,0,0
55,1,0,1,0,685,1,0,1,5,4,174,3,0,0,0,0
46,1,1,1,0,187,1,0,1,5,4,113,2,0,0,0,0
34,3,0,0,0,560,1,0,1,5,4,198,3,0,0,0,0
36,0,0,0,0,0,1,0,1,5,4,195,2,0,0,0,0
59,6,2,3,0,27,0,0,1,5,4,347,3,0,0,0,0
31,3,1,0,0,12,1,0,1,5,4,208,2,0,0,0,0
44,0,1,0,0,34,1,0,1,5,4,404,4,0,0,0,0
33,6,1,1,0,1068,1,0,1,5,4,396,2,0,0,0,0
40,0,0,0,0,211,1,0,1,5,4,216,4,0,0,0,0
46,3,1,1,0,377,1,0,1,5,4,98,2,0,0,0,0
48,1,0,1,0,263,1,0,1,5,4,350,2,0,0,0,0
42,4,0,0,0,1263,1,0,1,6,4,114,2,0,0,0,0
27,4,0,0,0,8,1,0,1,6,4,88,3,0,0,0,0
48,3,0,0,0,126,1,1,1,6,4,379,2,0,0,0,0
59,3,0,0,0,230,1,0,1,6,4,190,3,0,0,0,0
46,2,0,1,0,841,1,0,1,6,4,158,1,0,0,0,0
38,3,2,0,0,308,1,0,1,6,4,102,1,0,0,0,0
43,1,2,1,0,1,1,0,1,6,4,306,1,0,0,0,0
38,3,2,1,0,86,1,0,1,6,4,218,1,0,0,0,0
23,6,1,0,0,157,1,0,1,6,4,54,1,0,0,0,0
34,4,0,0,0,22,1,0,1,6,4,344,1,0,0,0,0
38,3,0,0,0,46,1,1,1,6,4,195,1,0,0,0,0
25,3,1,0,0,122,1,0,1,6,4,286,1,0,0,0,0
48,0,0,3,0,131,1,0,1,6,4,189,1,0,0,0,0
49,0,1,0,0,143,1,0,1,6,4,83,1,0,0,0,0
38,3,1,0,0,393,0,0,1,6,4,184,2,0,0,0,0
43,0,0,2,0,98,1,0,1,6,4,235,1,0,0,0,0
33,1,0,1,0,0,1,0,1,6,4,290,1,0,0,0,0
55,0,0,0,0,224,1,0,1,6,4,232,1,0,0,0,0
38,0,0,0,0,757,1,0,1,6,4,133,1,0,0,0,0
49,4,0,0,0,245,1,1,1,6,4,318,1,0,0,0,0
43,3,0,3,0,350,0,0,1,6,4,437,1,0,0,0,0
38,0,0,0,0,20,1,0,1,6,4,402,1,0,0,0,0
58,4,0,0,0,1667,1,1,1,6,4,85,1,0,0,0,0
57,2,0,3,0,345,1,0,1,6,4,125,1,0,0,0,0
32,6,0,0,0,10,1,0,1,6,4,501,4,0,0,0,0
58,0,2,3,0,29,1,0,1,6,4,253,1,0,0,0,0
46,2,2,1,0,477,1,0,1,6,4,114,1,0,0,0,0
27,3,0,0,0,4,1,0,1,6,4,243,1,0,0,0,0
32,2,1,0,0,0,1,1,1,6,4,135,3,0,0,0,0
40,3,1,0,0,263,1,0,1,6,4,231,1,0,0,0,0
38,3,0,0,0,1,0,0,1,6,4,76,1,0,0,0,0
34,0,0,0,0,283,0,1,1,6,4,199,1,0,0,0,0
47,0,0,2,0,206,1,0,1,6,4,152,1,0,0,0,0
42,6,0,2,0,17,1,0,1,6,4,124,1,0,0,0,0
48,2,0,0,0,141,1,1,1,6,4,424,1,0,0,0,0
29,6,1,1,0,16,1,0,1,6,4,43,1,0,0,0,0
50,4,0,0,0,206,1,0,1,6,4,154,1,0,0,0,0
52,2,0,3,0,7,0,0,1,6,4,203,2,0,0,0,0
50,1,0,1,0,0,0,0,1,6,4,326,1,0,0,0,0
58,5,0,1,0,0,0,0,1,6,4,393,1,0,0,0,0
46,0,2,2,0,1927,1,0,1,6,4,241,3,0,0,0,0
38,2,0,0,0,284,1,0,1,6,4,483,1,0,0,0,0
46,0,0,0,0,1660,1,0,1,6,4,259,1,0,0,0,0
32,4,1,0,0,406,1,0,1,6,4,227,1,0,0,0,0
39,3,1,0,0,-25,1,0,1,6,4,576,1,0,0,0,0
48,3,0,0,0,182,1,0,1,6,4,180,2,0,0,0,0
36,6,0,1,0,1169,1,0,1,6,4,168,2,0,0,0,0
34,3,2,0,0,67,1,0,1,6,4,90,1,0,0,0,0
40,2,0,0,0,77,0,0,1,6,4,505,1,0,0,0,0
43,6,0,0,0,0,1,0,1,6,4,245,1,0,0,0,0
52,0,2,2,0,55,1,1,1,6,4,186,1,0,0,0,0
33,2,0,0,1,72,1,0,1,6,4,623,1,0,0,0,0
49,1,1,1,0,163,1,0,1,6,4,496,3,0,0,0,0
32,1,1,1,0,151,1,0,1,6,4,118,1,0,0,0,0
39,3,1,0,0,113,1,0,1,6,4,342,1,0,0,0,0
40,0,0,0,0,0,1,0,1,6,4,225,1,0,0,0,0
38,2,1,1,0,9,1,0,1,6,4,185,3,0,0,0,0
43,1,0,0,0,375,1,0,1,6,4,196,2,0,0,0,0
39,4,0,0,0,1142,1,0,1,6,4,276,1,0,0,0,0
54,0,0,2,0,2102,1,0,1,6,4,76,1,0,0,0,0
40,0,0,0,0,217,1,0,1,6,4,195,1,0,0,0,0
39,0,0,0,0,0,1,0,1,6,4,262,1,0,0,0,0
40,0,0,2,0,46,1,0,1,6,4,119,1,0,0,0,0
32,0,0,0,0,320,1,0,1,6,4,198,2,0,0,0,0
55,3,0,0,0,183,1,0,1,6,4,150,1,0,0,0,0
45,0,0,0,0,39,0,0,1,6,4,241,1,0,0,0,0
35,1,1,1,0,560,1,0,1,6,4,181,1,0,0,0,0
58,2,2,0,0,469,0,0,1,6,4,196,1,0,0,0,0
35,3,0,0,0,530,1,0,1,6,4,149,1,0,0,0,0
49,4,0,2,0,61,1,0,1,6,4,246,1,0,0,0,0
34,2,1,1,0,242,1,0,1,6,4,112,1,0,0,0,0
36,0,0,0,0,139,1,0,1,6,4,309,2,0,0,0,0
24,6,1,0,0,0,1,0,1,6,4,278,1,0,0,0,0
34,2,0,0,0,367,1,0,1,6,4,140,1,0,0,0,0
51,3,2,0,0,228,1,0,1,6,4,136,1,0,0,0,0
50,6,0,3,0,-84,1,0,1,6,4,101,1,0,0,0,0
32,4,1,0,0,310,1,0,1,6,4,144,1,0,0,0,0
42,0,0,3,0,132,1,0,1,6,4,238,1,0,0,0,0
50,2,0,0,0,797,1,0,1,6,4,354,1,0,0,0,0
40,4,0,0,0,71,0,0,1,6,4,79,1,0,0,0,0
